               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089484,            0.022909,                   0,              17.595,            0.042681,             0.10714,            0.014406,           0.0035613,            0.084542,            0.022201,                   0,              15.464,             2.1e-05,             2.1e-05,            0.095821
                   1,            0.086611,            0.018667,                   0,              14.091,             0.34533,             0.36905,             0.20405,            0.033693,            0.091585,            0.017594,                   0,              12.989,          4.2466e-05,          4.2466e-05,            0.091542
                   2,            0.082239,            0.017127,                   0,              8.8321,             0.21693,             0.53571,             0.17236,            0.031304,            0.084399,            0.014516,                   0,              6.3248,          6.3798e-05,          6.3798e-05,            0.087264
                   3,            0.075462,            0.015021,                   0,              4.5505,             0.27654,             0.46417,             0.25862,            0.072926,            0.076107,             0.01692,                   0,              4.0291,          8.4894e-05,          8.4894e-05,            0.082985
                   4,            0.075224,            0.011877,                   0,              1.8462,             0.66643,             0.69048,             0.62071,             0.22297,            0.064948,            0.012933,                   0,             0.94605,          0.00010566,          0.00010566,            0.078706
                   5,            0.076135,           0.0092969,                   0,             0.72373,             0.38907,             0.54762,             0.33764,            0.088081,            0.065075,             0.01071,                   0,             0.53315,          0.00012598,          0.00012598,            0.074426
                   6,             0.07703,           0.0082679,                   0,             0.53529,             0.67856,             0.88095,             0.68472,             0.17452,            0.073624,            0.008595,                   0,             0.46862,          0.00014579,          0.00014579,            0.070146
                   7,            0.087526,           0.0068334,                   0,             0.47597,             0.19034,              0.5119,             0.15849,            0.042103,            0.079608,            0.007764,                   0,             0.44239,          0.00016497,          0.00016497,            0.065865
                   8,            0.086209,           0.0065155,                   0,             0.46805,             0.56007,             0.60714,             0.52163,             0.14352,            0.079553,           0.0073625,                   0,             0.43637,          0.00018345,          0.00018345,            0.061583
                   9,            0.087824,           0.0063736,                   0,             0.47515,             0.21406,             0.44048,             0.16568,            0.035243,            0.078639,           0.0078768,                   0,              0.5659,          0.00020114,          0.00020114,            0.057301
                  10,            0.089962,           0.0057437,                   0,             0.48804,             0.47315,             0.69048,             0.57908,             0.14643,            0.084408,           0.0068128,                   0,             0.57259,          0.00021797,          0.00021797,            0.053018
                  11,            0.092024,            0.005346,                   0,             0.46819,             0.28979,             0.34524,             0.21531,            0.047953,            0.087125,           0.0057804,                   0,             0.40046,          0.00023386,          0.00023386,            0.048734
                  12,            0.093863,           0.0050597,                   0,             0.48762,              0.3281,             0.33333,             0.23812,            0.073979,            0.085372,           0.0066238,                   0,             0.44138,          0.00024875,          0.00024875,            0.044449
